"","salario","saldo","mora","y"
"1",1736.7,1092.75,6,"0"
"2",NA,4983,36,"1"
"3",663.61,642.93,56,"1"
"4",263.06,4517.57,65,"0"
"5",NA,9489.87,0,"1"
"6",NA,3109.11,36,"0"
"7",256.75,7824.7,210,"0"
"8",260.72,9646.16,212,"0"
"9",259.53,1753.76,32,"1"
"10",NA,5203.63,200,"0"
"11",NA,7290.44,167,"0"
"12",NA,1779.08,76,"0"
"13",260.99,857.17,39,"0"
"14",NA,24539.44,182,"0"
"15",402.35,2000.68,68,"0"
"16",NA,2209.86,41,"0"
"17",NA,263.65,91,"0"
"18",NA,1701.48,32,"0"
"19",1364.54,5255.35,36,"0"
"20",913.44,2861.79,39,"1"
"21",NA,2345.32,36,"0"
"22",415.01,3440.22,36,"0"
"23",98,5498.23,41,"0"
"24",258.45,493.09,185,"0"
"25",NA,1666.9,50,"0"
"26",579.42,622.78,15,"0"
"27",NA,5526.09,294,"0"
"28",NA,301.62,39,"0"
"29",NA,3222.12,47,"0"
"30",262.26,4901.16,39,"0"
"31",257.72,4078.55,14,"1"
"32",NA,8552,252,"0"
"33",NA,2633.76,39,"1"
"34",258.27,5283.31,210,"0"
"35",259.82,248.85,56,"1"
"36",259.27,1039.1,43,"0"
"37",260.07,5001.78,28,"0"
"38",NA,2925.46,0,"0"
"39",NA,2621.63,36,"1"
"40",NA,3160.88,36,"0"
"41",NA,2673.4,46,"0"
"42",NA,2021.56,4,"1"
"43",NA,5962.07,39,"0"
"44",NA,7258.66,3,"0"
"45",259.51,2783.12,9,"1"
"46",NA,8039.74,62,"0"
"47",713.74,3042.6,36,"1"
"48",260.06,1447.84,54,"1"
"49",258.75,2299.07,36,"1"
"50",416.06,5123.17,39,"0"
"51",NA,5203.9,36,"0"
"52",NA,2344.08,26,"0"
"53",400.72,2558.98,116,"1"
"54",NA,3230.56,41,"1"
"55",NA,399.55,88,"0"
"56",NA,6367.59,37,"1"
"57",NA,424.14,249,"0"
"58",NA,1465.76,54,"1"
"59",NA,5959.93,39,"0"
"60",NA,2588.02,41,"0"
"61",259.71,2006.7,123,"1"
"62",NA,6286.03,241,"0"
"63",259.88,3922.03,84,"0"
"64",NA,5360,221,"0"
"65",NA,6926.01,5,"1"
"66",262.13,1306.16,42,"0"
"67",425.4,3932.21,36,"0"
"68",NA,4359.14,41,"0"
"69",NA,2376.73,28,"1"
"70",531.32,4957.22,32,"0"
"71",NA,358.84,170,"0"
"72",487.29,1231.17,65,"1"
"73",261.16,7440.02,189,"0"
"74",98.47,3915.76,87,"0"
"75",409.14,4777.38,39,"1"
"76",261.3,5835.71,39,"0"
"77",NA,3262.5,36,"0"
"78",404.75,5582.32,39,"0"
"79",411.64,1687.85,9,"0"
"80",NA,8961.77,3,"1"
"81",NA,1302.73,48,"0"
"82",446.33,1274.8,73,"0"
"83",255.88,3949.39,53,"0"
"84",259.06,3398.43,67,"0"
"85",NA,6403.99,216,"0"
"86",NA,236.09,121,"1"
"87",NA,4297.48,36,"0"
"88",262.14,2263.92,38,"1"
"89",262.84,3733.82,36,"0"
"90",262.08,4642.48,36,"1"
"91",259.42,2856.06,39,"0"
"92",431.94,5215.11,36,"1"
"93",NA,3170.17,36,"0"
"94",NA,2454.47,36,"0"
"95",401.84,2610.41,143,"1"
"96",260.03,435.99,222,"0"
"97",NA,2239.46,66,"1"
"98",NA,4673.94,39,"1"
"99",259.89,5628.89,39,"0"
"100",258.04,3952.98,41,"0"
